State,District,murder_with_rape,dowry_deaths,suicide,miscarriage,acid_attack,attempt_acid_attack,cruelty_husbandfamily,kidnap,kidnap_murder,kidnap_ransom,kidnap_miscarriage,procuration_minor,procuration_foreign_girls,kidnap_others,trafficking,sell_minor,buy_minor,rape,attmpt_rape,modesty_attack,insult_modesty,dowry,prostitution,detain_pros,vicinity_pros,soliciting_pros,pros_other,domestic_violence,publish_obscene,cybercrime,child_rape,child_assault,sexual_harassment,child_porn,POCSO1,POCSO2,indecency
Andaman n Nicobar Islands,Nicobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0
Andaman n Nicobar Islands,North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,42,4,0,1,0,0,0
Andaman n Nicobar Islands,South Andaman,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,37,3,2,0,1,0,0
Andhra Pradesh,Anantapur,1,17,48,0,0,0,437,4,0,0,17,23,0,0,3,0,0,69,32,418,26,0,0,0,0,0,0,0,0,1,30,3,0,0,0,0,0
Andhra Pradesh,Chittoor,0,14,32,0,0,0,335,0,0,0,6,2,0,5,0,0,0,38,9,183,12,0,0,0,0,0,4,0,0,1,1,3,2,0,0,0,0
Andhra Pradesh,East Godavari,0,7,26,0,0,0,405,31,0,1,10,2,0,4,0,0,0,111,10,463,63,2,0,0,0,0,0,0,2,0,43,4,8,0,7,0,0
Andhra Pradesh,Guntur,0,3,28,0,0,1,614,44,0,0,10,5,0,0,2,0,0,90,12,338,262,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
Andhra Pradesh,Krishna,0,8,25,0,0,0,617,102,0,0,5,0,0,0,0,0,0,79,14,341,242,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Andhra Pradesh,Kurnool,0,5,44,8,0,0,222,0,0,0,9,9,0,7,0,0,0,41,8,426,471,407,0,0,0,0,9,0,0,0,10,8,5,0,1,0,0
Andhra Pradesh,Prakasham,1,10,26,0,2,0,463,4,0,0,1,0,0,1,3,0,0,31,12,280,431,0,0,0,0,0,1,0,2,0,66,19,37,0,0,0,0
Andhra Pradesh,Srikakulam,0,3,16,0,0,0,153,6,0,0,6,0,0,2,0,0,0,61,0,146,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Visakhapatnam,0,5,12,0,1,0,423,21,0,0,0,0,0,2,8,0,0,124,2,288,104,1,0,0,0,0,1,0,1,21,16,2,3,0,0,0,0
Andhra Pradesh,Vizianagaram,0,1,5,0,0,0,231,24,0,0,2,0,0,0,1,0,0,73,3,178,81,2,0,0,0,0,0,0,3,0,27,1,3,0,0,0,0
Andhra Pradesh,West Godavari,0,6,19,0,0,0,644,15,0,0,11,1,0,18,7,0,0,76,12,457,108,1,0,0,3,0,6,0,0,0,20,0,0,0,0,0,0
Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Arunachal Pradesh,Lohit,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare ,0,0,0,0,0,0,33,29,0,0,0,0,0,3,1,0,0,15,0,15,2,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0
Arunachal Pradesh,Siang East,0,0,1,0,0,0,9,1,0,0,1,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arunachal Pradesh,Siang West,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arunachal Pradesh,Subansiri Lower,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Baksa,0,6,0,0,0,0,128,0,0,0,56,72,0,4,1,0,0,35,6,86,0,12,0,0,0,0,0,0,1,0,21,6,1,0,0,0,0
Assam,Barpeta,0,12,1,0,0,0,882,200,0,0,154,100,0,0,10,0,0,129,78,627,0,0,0,0,0,0,3,0,0,0,71,24,5,0,0,0,0
Assam,Bongaigaon,3,7,0,0,0,0,342,4,0,0,98,74,0,0,3,0,0,46,25,109,0,0,0,0,0,0,0,0,0,0,36,21,9,0,0,0,0
Assam,Cachar,0,9,0,0,0,0,550,0,0,0,84,203,0,0,0,0,0,57,0,56,1,47,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
Assam,Chirang,0,2,0,0,0,0,91,0,0,0,93,2,0,0,0,0,0,20,7,41,0,3,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
Assam,Darrang,0,6,0,0,0,0,415,13,0,0,167,19,0,20,2,0,0,89,8,290,0,9,0,0,0,0,1,0,60,0,26,24,24,0,0,0,0
Assam,Dhemaji,0,3,10,0,0,0,186,6,0,0,24,3,0,7,0,0,0,24,6,121,2,7,1,0,0,0,0,0,1,0,24,6,0,0,0,0,0
Assam,Dhubri,0,9,0,0,1,1,976,19,1,5,98,73,0,145,8,1,0,111,81,712,5,11,0,0,0,0,1,0,0,0,69,28,10,0,0,0,0
Assam,Dibrugarh,0,3,0,0,0,0,379,21,0,0,165,24,0,5,0,0,0,22,0,78,0,65,0,0,0,0,0,0,5,0,55,6,11,2,0,0,0
Assam,Dima Hasao,0,0,0,0,0,0,13,6,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0
Assam,Goalpara,0,2,0,0,0,0,300,0,0,0,96,58,0,0,2,0,0,33,27,79,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
Assam,Golaghat,0,0,0,0,0,0,332,23,0,1,130,4,0,53,1,0,0,31,7,44,0,8,0,0,0,0,0,0,1,0,26,4,0,0,0,0,0
Assam,Hailakandi,0,3,0,0,0,0,291,0,0,0,33,34,0,0,0,0,0,92,24,139,2,8,0,0,0,0,0,0,0,0,17,13,5,0,0,0,0
Assam,Jorhat,0,3,0,0,0,0,596,20,0,0,246,7,0,0,0,0,0,47,19,158,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0
Assam,Kamrup,18,20,7,0,0,0,409,56,0,0,137,0,0,130,0,0,0,94,0,530,25,37,0,0,0,0,0,0,10,0,63,18,6,0,0,0,0
Assam,Karbi Anglong,4,0,0,0,0,0,72,29,0,2,56,0,0,4,0,0,0,16,0,25,0,0,0,0,0,0,0,0,9,7,15,4,0,0,0,0,0
Assam,Karimganj,0,2,3,25,1,1,289,0,0,0,57,4,0,0,0,0,0,59,23,70,2,0,2,0,0,0,0,0,1,0,10,4,2,0,0,0,0
Assam,Kokrajhar,0,7,0,0,0,0,154,0,0,0,83,7,0,0,5,0,0,27,0,74,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
Assam,Lakhimpur,0,3,1,0,1,0,347,10,0,0,99,63,0,23,0,0,0,50,15,123,5,131,0,0,0,0,2,0,0,2,54,13,20,0,0,0,0
Assam,Morigaon,0,9,0,0,0,0,497,150,0,0,129,0,0,0,1,0,0,222,35,168,0,0,0,0,0,0,0,0,0,0,38,20,0,0,0,0,0
Assam,Nagaon,0,5,0,0,0,0,863,73,1,4,211,73,0,28,3,0,0,77,37,136,0,67,0,0,0,0,1,0,0,0,105,0,0,0,0,0,0
Assam,Nalbari,0,2,0,0,1,0,281,23,0,0,49,0,0,7,1,0,0,49,0,102,23,7,0,0,0,0,0,0,27,0,28,23,4,0,0,0,0
Assam,Sonitpur,0,0,0,0,0,0,454,40,0,0,0,0,0,0,17,0,0,41,0,23,0,4,0,0,0,0,2,0,0,0,10,15,0,0,0,0,0
Assam,Tinsukia,0,4,12,0,0,0,250,0,0,0,98,51,0,0,0,0,0,30,13,104,2,0,0,0,0,0,0,0,5,0,38,18,0,1,0,0,0
Assam,Udalguri,0,4,0,0,0,0,101,15,0,0,79,9,0,0,2,0,0,29,3,34,0,0,0,0,0,0,0,0,0,0,12,12,3,0,0,0,0
Bihar,Araria,0,18,0,0,0,0,55,20,0,0,119,0,0,20,0,0,0,38,0,5,0,82,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0
Bihar,Arwal,0,9,0,0,0,0,8,5,0,0,27,0,0,0,0,0,0,2,0,11,0,13,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0
Bihar,Aurangabad,0,25,0,0,0,0,39,0,0,0,92,0,0,0,0,0,0,11,0,7,0,22,0,0,0,0,0,0,0,0,10,18,9,0,0,0,0
Bihar,Banka,0,19,0,0,0,0,19,2,0,0,83,0,0,0,0,0,0,21,0,23,0,52,0,0,0,0,0,0,0,0,14,5,0,0,1,1,0
Bihar,Begusarai,0,28,0,0,0,0,0,12,2,0,92,0,0,16,0,0,0,26,0,4,0,44,3,0,0,0,0,23,0,4,4,3,4,3,0,0,0
Bihar,Bhagalpur,0,17,0,0,0,0,46,10,2,0,203,0,0,39,0,0,0,42,2,11,0,102,3,0,0,0,0,0,2,0,22,25,0,0,0,0,0
Bihar,Bhojpur,0,34,0,0,0,0,94,10,1,0,89,0,0,67,0,0,0,10,2,42,0,137,0,0,0,0,0,0,0,2,15,26,4,5,0,0,0
Bihar,Buxar,0,13,0,0,0,0,53,12,0,0,66,0,0,29,0,0,0,17,0,3,0,60,0,0,0,0,0,0,0,0,15,12,11,0,0,0,0
Bihar,Darbhanga,0,20,0,0,0,0,80,36,0,0,161,0,0,15,0,0,0,23,0,112,0,49,0,0,0,0,0,0,0,0,24,12,5,0,0,0,0
Bihar,Gaya,0,42,0,0,1,0,108,16,0,0,202,0,0,48,0,0,0,56,0,10,0,86,0,2,0,0,0,0,0,0,25,34,22,0,0,0,0
