State,OSCs
Andaman & Nicobar Islands,3
Andhra Pradesh,13
Arunachal Pradesh,24
Assam,33
Bihar,38
Chandigarh,1
Chhattisgarh,27
Dadra & Nagar Haveli and Daman & Diu,3
Delhi,11
Goa,2
Gujrat,33
Haryana,22
Himachal Pradesh,12
Jammu & Kashmir,20
Jharkhand,24
Karnataka,30
Kerala,14
Lakshadweep,1
Ladakh,2
Maharashtra,37
Madhya Pradesh,52
Manipur,16
Meghalaya,11
Mizoram,8
Nagaland,11
Odisha,30
Punjab,22
Puducherry,4
Rajasthan,33
Sikkim,4
Tamil Nadu,34
Telangana,33
Tripura,8
Uttar Pradesh,75
Uttarakhand,13
West Bengal,0
