State,District,no_womenpol_stations,literacy,sex_ratio,head,emp,tot_crime
Andaman n Nicobar Islands,Nicobar,0,38.35,0.78,13.84,10.57,28
Andaman n Nicobar Islands,North & Middle Andaman,0,30.04,0.92,14.39,10.13,53
Andaman n Nicobar Islands,South Andaman,0,23.8,0.87,13.56,13.94,62
Andhra Pradesh,Anantapur,1,51.78,0.98,14.18,30.45,1129
Andhra Pradesh,Chittoor,2,43.23,1,15.07,27.96,647
Andhra Pradesh,East Godavari,2,39.19,1.01,16.18,14.34,1199
Andhra Pradesh,Guntur,2,45.83,1,14.59,31.52,1415
Andhra Pradesh,Krishna,2,37.3,0.99,14.71,24.51,1436
Andhra Pradesh,Kurnool,1,56.27,0.99,15.18,34.92,1690
Andhra Pradesh,Prakasham,1,52.65,0.98,13.99,33.01,1390
Andhra Pradesh,Srikakulam,1,53.17,1.01,18.21,23.24,457
Andhra Pradesh,Visakhapatnam,2,46.77,1.01,15.1,20.05,1035
Andhra Pradesh,Vizianagaram,1,55.12,1.02,15.88,29.65,635
Andhra Pradesh,West Godavari,1,35.44,1,14.99,22,1404
Arunachal Pradesh,Anjaw,0,64.11,0.84,18.06,36.74,0
Arunachal Pradesh,Changlang,0,59.11,0.93,10.26,22.44,15
Arunachal Pradesh,Dibang Valley,0,49.25,0.81,18.13,24.6,3
Arunachal Pradesh,Kameng East,0,57.79,1.03,12.94,31.98,6
Arunachal Pradesh,Kameng West,0,49.92,0.82,13.52,26.76,9
Arunachal Pradesh,Kurung Kumey,0,65.04,1.03,10.86,25.96,6
Arunachal Pradesh,Lohit,0,50.1,0.91,11.12,23.16,14
Arunachal Pradesh,Lower Dibang Valley,0,47.12,0.93,12.22,26.04,5
Arunachal Pradesh,Papum Pare ,1,36.77,0.98,14.83,19.46,114
Arunachal Pradesh,Siang East,0,42.23,0.98,13.81,27.03,33
Arunachal Pradesh,Siang Upper,0,55.04,0.89,12.74,36.12,2
Arunachal Pradesh,Siang West,0,48.31,0.93,12.76,31.34,17
Arunachal Pradesh,Subansiri Lower,0,40.3,0.98,16.2,21.31,2
Arunachal Pradesh,Subansiri Upper,0,50.9,1,13.41,26.85,16
Arunachal Pradesh,Tawang,0,59.89,0.71,22.74,31.5,0
Arunachal Pradesh,Tirap,0,65.68,0.94,10.75,35.91,5
Assam,Baksa,0,46.62,0.97,12.88,13.3,435
Assam,Barpeta,0,51.85,0.95,13.41,6.06,2296
Assam,Bongaigaon,0,45.74,0.97,15.16,6.66,777
Assam,Cachar,0,37.18,0.96,14.65,8.89,1038
Assam,Chirang,0,51.95,0.97,12.84,13.83,302
Assam,Darrang,0,51.82,0.95,11.5,6.98,1173
Assam,Dhemaji,0,44.68,0.95,11.01,16.63,431
Assam,Dhubri,0,56.82,0.95,13.09,6.09,2365
Assam,Dibrugarh,0,39.5,0.96,13.39,16.41,841
Assam,Dima Hasao,0,39.68,0.93,12.36,17.9,44
Assam,Goalpara,0,47.61,0.96,13.86,8.83,632
Assam,Golaghat,0,37.89,0.96,13.61,16.06,665
Assam,Hailakandi,0,43.83,0.95,13.1,7.41,661
Assam,Jorhat,0,32.28,0.96,14.6,16.74,1130
Assam,Kamrup,1,39.78,0.95,13.82,10.06,1560
Assam,Karbi Anglong,0,47.88,0.95,9.75,12.77,243
Assam,Karimganj,0,40.39,0.96,14.68,6.16,555
Assam,Kokrajhar,0,50.7,0.96,12.57,12.51,400
Assam,Lakhimpur,0,39.91,0.97,12.32,11.66,962
Assam,Morigaon,0,46.85,0.97,11.82,8.46,1269
Assam,Nagaon,0,43.03,0.96,13.02,7.11,1684
Assam,Nalbari,0,36.48,0.95,14.93,6.51,627
Assam,Sonitpur,0,48.09,0.96,13.87,12.47,606
Assam,Tinsukia,0,46.75,0.95,13.1,17.39,626
Assam,Udalguri,0,49.86,0.97,12.72,14.24,303
Bihar,Araria,0,65.28,0.92,8.47,11.81,388
Bihar,Arwal,0,55.22,0.93,10.36,10.23,83
Bihar,Aurangabad,0,51.1,0.93,9.09,8.02,233
Bihar,Banka,0,61.31,0.91,8.86,8.14,240
Bihar,Begusarai,0,55.08,0.89,11.13,7.18,268
Bihar,Bhagalpur,0,55.32,0.88,8.65,5.8,526
Bihar,Bhojpur,1,51.8,0.91,12.22,5.96,538
Bihar,Buxar,1,51.58,0.92,11.08,6.11,291
Bihar,Darbhanga,1,63.19,0.91,13.55,5.97,537
Bihar,Gaya,1,56.29,0.94,9.91,12.83,652
Bihar,Gopalganj,0,54.49,1.02,19.19,4.85,300
Bihar,Jamui,0,61.6,0.92,8.46,16.24,208
Bihar,Katihar,0,64.78,0.92,10.56,7.61,457
Bihar,Khagaria,1,60.81,0.89,7.88,6.91,195
Bihar,Kishanganj,0,62.94,0.95,13.38,6.06,259
Bihar,Lakhisarai,1,57.42,0.9,9.74,8.15,146
Bihar,Madhepura,0,66.79,0.91,7.32,11.37,216
Bihar,Madhubani,0,62.22,0.93,10.61,11.79,503
Bihar,Munger,0,48.64,0.88,9.7,5.39,249
Bihar,Muzaffarpur,0,55.04,0.9,9.72,6.69,776
Bihar,Nalanda,0,56.51,0.92,10.76,14.13,669
Bihar,Patna,1,48.13,0.9,11.21,9.05,1575
Bihar,Rohtas,1,47.89,0.92,9.21,5.43,348
Bihar,Saharsa,0,66.95,0.91,7.66,7.35,159
Bihar,Samastipur,0,58.19,0.91,10.8,6.69,424
Bihar,Saran,1,54.81,0.95,16.11,3.58,736
Bihar,Sheikhpura,0,56.87,0.93,10.45,12.43,111
Bihar,Sheohar,0,63.8,0.89,9.14,6.99,92
Bihar,Sitamarhi,0,65.96,0.9,8.14,6.68,496
Bihar,Siwan,0,50.81,0.99,17.43,3.65,328
Bihar,Supaul,1,64.09,0.93,8.38,10.84,249
Bihar,Vaishali,0,53.09,0.89,10.84,5.64,606
Chandigarh,Chandigarh,1,28.37,0.82,9.98,14.48,301
Chhattisgarh,Balrampur,0,68.72,0.93,12.38,8.78,316
Chhattisgarh,Bilaspur,1,30.22,0.98,13.17,20.45,720
Chhattisgarh,Durg,1,38.69,0.99,12.85,24.29,611
Chhattisgarh,Janjgir,0,47.02,0.99,14.46,17.83,451
Chhattisgarh,Kabirdham,0,59.64,1,10.73,32.63,217
Chhattisgarh,Koriya,0,48.21,0.97,12.05,13.44,286
Chhattisgarh,Mahasamund,0,47.41,1.02,13.46,21.16,203
Chhattisgarh,Narayanpur,0,66.76,0.99,16.43,20.47,54
Chhattisgarh,Raigarh,0,36.6,0.99,12.43,17.59,482
